"","id","Scale Title","Trial 1: 0_back","Trial 2: 2_back","Trial 3: 3_back","Trial 4: 2_back","Trial 5: 3_back","Trial 6: 0_back","Weight"
"87","016.csv","Temporal Demand","35",70,80,50,85,30,1
"88","016.csv","Performance","35",85,90,50,85,25,5
"89","016.csv","Effort","85",70,85,80,85,45,2
"90","016.csv","Frustration","30",75,85,65,85,25,3
"91","016.csv",NA,"Adjusted rate(Weight x Raw)",NA,NA,NA,NA,NA,NA
"92","017.csv","Mental Demand","5",45,65,50,70,10,4
"93","017.csv","Physical Demand","5",30,65,45,60,10,3
"94","017.csv","Temporal Demand","5",50,80,30,85,5,1
"95","017.csv","Performance","5",25,60,20,70,0,5
"96","017.csv","Effort","5",40,70,35,75,20,2
"97","017.csv","Frustration","5",60,75,65,85,40,0
"98","017.csv",NA,"Adjusted rate(Weight x Raw)",NA,NA,NA,NA,NA,NA
"99","018.csv","Mental Demand","5",15,30,15,25,0,3
"100","018.csv","Physical Demand","5",15,30,15,25,0,0
"101","018.csv","Temporal Demand","5",20,35,15,15,0,2
"102","018.csv","Performance","0",10,35,15,20,0,5
"103","018.csv","Effort","5",15,40,15,15,0,4
"104","018.csv","Frustration","5",15,35,10,20,0,1
"105","018.csv",NA,"Adjusted rate(Weight x Raw)",NA,NA,NA,NA,NA,NA
"106","019.csv","Mental Demand","5",30,45,25,45,0,4
"107","019.csv","Physical Demand","5",25,40,20,40,0,2
"108","019.csv","Temporal Demand","5",30,50,20,40,5,3
"109","019.csv","Performance","5",30,50,15,35,5,1
"110","019.csv","Effort","5",30,55,20,45,5,5
"111","019.csv","Frustration","5",20,40,15,25,0,0
"112","019.csv",NA,"Adjusted rate(Weight x Raw)",NA,NA,NA,NA,NA,NA
"113","020.csv","Mental Demand","0",70,100,20,85,0,4
"114","020.csv","Physical Demand","0",70,90,20,100,0,3
"115","020.csv","Temporal Demand","0",55,100,20,100,0,1
"116","020.csv","Performance","0",50,85,15,80,0,5
"117","020.csv","Effort","0",75,100,15,100,0,1
"118","020.csv","Frustration","0",30,60,15,70,0,1
"119","020.csv",NA,"Adjusted rate(Weight x Raw)",NA,NA,NA,NA,NA,NA
"120","021.csv","Mental Demand","5",65,85,60,80,0,5
"121","021.csv","Physical Demand","10",15,15,20,15,5,0
"122","021.csv","Temporal Demand","10",20,20,10,25,0,1
"123","021.csv","Performance","5",25,40,15,70,0,3
"124","021.csv","Effort","0",65,80,60,85,5,4
"125","021.csv","Frustration","0",35,55,20,60,5,2
"126","021.csv",NA,"Adjusted rate(Weight x Raw)",NA,NA,NA,NA,NA,NA
"127","022.csv","Mental Demand","0",10,50,10,50,5,3
"128","022.csv","Physical Demand","0",5,25,10,35,5,2
"129","022.csv","Temporal Demand","15",15,50,15,30,10,0
"130","022.csv","Performance","0",0,20,0,15,0,5
"131","022.csv","Effort","5",15,35,15,50,20,1
"132","022.csv","Frustration","5",5,25,5,30,15,4
"133","022.csv",NA,"Adjusted rate(Weight x Raw)",NA,NA,NA,NA,NA,NA
"134","023.csv","Mental Demand","15",60,75,65,80,10,4
"135","023.csv","Physical Demand","20",65,75,60,80,15,2
"136","023.csv","Temporal Demand","45",60,65,55,30,20,0
"137","023.csv","Performance","15",70,80,35,65,15,3
"138","023.csv","Effort","15",70,75,65,80,20,4
"139","023.csv","Frustration","20",70,80,55,80,15,2
"140","023.csv",NA,"Adjusted rate(Weight x Raw)",NA,NA,NA,NA,NA,NA
"141","024.csv","Mental Demand","0",50,65,50,50,0,3
"142","024.csv","Physical Demand","0",30,35,15,15,0,4
"143","024.csv","Temporal Demand","0",40,50,25,25,0,1
"144","024.csv","Performance","10",20,25,15,15,5,5
"145","024.csv","Effort","85",100,95,75,75,50,2
"146","024.csv","Frustration","0",10,10,10,10,0,0
"147","024.csv",NA,"Adjusted rate(Weight x Raw)",NA,NA,NA,NA,NA,NA
"148","025.csv","Mental Demand","30",45,65,30,60,10,3
"149","025.csv","Physical Demand","15",15,30,20,20,10,0
"150","025.csv","Temporal Demand","5",30,50,5,50,5,3
"151","025.csv","Performance","5",10,30,5,10,5,1
"152","025.csv","Effort","80",90,100,65,95,10,5
"153","025.csv","Frustration","10",20,30,5,20,5,3
"154","025.csv",NA,"Adjusted rate(Weight x Raw)",NA,NA,NA,NA,NA,NA
